variable,mean,std,min,max,length,filename
W11_CleanTan,-0.7636190476190476,0.15033056914090154,-1.04,-0.6,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W11_Cross,0.21819047619047618,0.12275373840188407,0.01,0.43,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W12_Speed,1.0104761904761905,0.07111391161797727,0.9,1.1,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W12_Tangent,-0.9747619047619047,0.0651842473425726,-1.08,-0.83,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W12_Turbulence,0.05819047619047619,0.03338282950848016,0.0,0.1,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W12_CleanTan,-0.9747619047619047,0.0651842473425726,-1.08,-0.83,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
W12_Cross,0.17514285714285718,0.07633487398963196,0.02,0.34,207.11879248392697,999_999_Jumper_Anon_ANO_1_20240409-102625_C_OfficialResults.csv
Position,115.00214592274678,67.3944017208121,0.0,230.5,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Height above ground [m],3.281465517241379,1.102217956235615,0.0,4.8,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
X [m],102.08502145922746,57.499055810272345,-82.03,196.5,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Y [m],-1.4107296137339058,1.2784220067873566,-4.22,0.2,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Z [m],-52.71527896995708,37.14505408709277,-118.1,43.59,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Opening Angle [°],27.89008620689655,7.315277022410984,0.0,42.7,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Stalling Angle Left [°],-3.37826724137931,5.79720820681886,-12.046,12.079,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Stalling Angle Right [°],0.6605,6.063152032683048,-15.235,10.616,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
Roll Angle Left [°],33.10011637931035,13.341864070754923,-6.912,59.327,229.29820845353328,999_999_Jumper_Anon_ANO_1_20240409-102831_C_OfficialResults.csv
